year,PRCP,RD,Tmean,FD,HD
1901,1.7040000000000002,1236,10.271561643835616,520,0.0
1902,1.8125479452054796,1265,9.513643835616438,487,0.0
1903,1.7078630136986301,1266,10.727863013698629,254,0.0
1904,1.4875956284153007,1173,10.633360655737704,474,0.0
1905,1.7256986301369863,1268,10.364684931506849,463,0.0
1906,2.0384109589041097,1288,10.468849315068494,423,0.0
1907,1.2971232876712329,1175,10.055041095890411,576,0.0
1908,1.501584699453552,1102,9.562049180327868,654,0.0
1909,1.6465205479452056,1258,10.27731506849315,602,0.0
1910,1.9367397260273973,1315,10.993534246575344,206,0.0
1911,1.396986301369863,1175,10.914356164383562,340,0.0
1912,1.9605464480874317,1474,9.438032786885245,403,0.0
1913,1.5829041095890413,1176,9.898383561643834,557,0.0
1914,1.8332876712328767,1222,9.471835616438355,617,0.0
1915,2.3898630136986303,1638,10.072794520547944,361,0.0
1916,1.7744262295081967,1477,11.113579234972677,213,0.0
1917,1.2338356164383562,1233,10.139671232876713,669,0.0
1918,1.7306027397260273,1332,10.572109589041094,453,0.0
1919,2.0906301369863014,1565,9.889452054794521,366,0.0
1920,1.6879781420765028,1210,10.429699453551912,412,0.0
1921,1.1835616438356165,1020,10.564356164383563,415,8.0
1922,1.8806301369863014,1317,9.5733698630137,593,2.0
1923,1.5351780821917806,1388,11.179808219178083,362,0.0
1924,1.5746721311475411,1165,9.841366120218579,794,0.0
1925,1.8824109589041096,1300,10.596356164383561,455,0.0
1926,1.7014794520547945,1381,11.234602739726029,246,0.0
1927,1.8336712328767122,1352,10.970986301369862,464,0.0
1928,1.2901639344262295,1228,10.541803278688525,485,10.0
1929,1.502054794520548,1119,9.688712328767124,704,0.0
1930,1.619123287671233,1247,11.40254794520548,390,0.0
1931,1.6540821917808217,1313,10.089205479452055,590,8.0
1932,1.5272404371584698,1117,10.109371584699455,809,0.0
1933,1.8556986301369864,1370,9.456739726027397,578,2.0
1934,1.3405753424657536,1136,11.992438356164383,357,0.0
1935,1.4403835616438354,1289,10.618164383561645,534,0.0
1936,1.9628688524590165,1414,11.17617486338798,298,4.0
1937,2.2884931506849315,1490,11.251123287671232,417,0.0
1938,1.5753150684931505,1356,10.858493150684932,281,0.0
1939,1.7947397260273974,1347,11.100712328767123,321,4.0
1940,2.2343442622950818,1542,8.387978142076502,898,0.0
1941,1.9383013698630138,1590,9.57627397260274,491,0.0
1942,1.5105753424657535,1189,9.684383561643836,728,0.0
1943,1.552849315068493,1107,11.069506849315069,390,2.0
1944,2.0491256830601094,1379,10.70379781420765,426,0.0
1945,1.5154794520547945,1194,11.171315068493152,520,4.0
1946,1.2955616438356166,1096,11.517287671232877,534,22.0
1947,1.2624383561643835,1301,11.045342465753425,567,2.0
1948,1.5109562841530055,1306,10.91120218579235,491,4.0
1949,1.5223287671232877,1233,11.11758904109589,321,0.0
1950,1.6107123287671234,1317,11.54013698630137,319,26.0
1951,1.7048767123287671,1344,11.683643835616438,174,0.0
1952,1.8327868852459017,1464,10.961857923497268,429,9.0
1953,1.350958904109589,1016,10.693150684931506,535,0.0
1954,1.7161643835616438,1388,9.673643835616438,625,0.0
1955,2.062027397260274,1403,10.08504109589041,425,0.0
1956,1.4667213114754099,1221,9.185601092896176,735,0.0
1957,1.3644931506849314,1151,10.63282191780822,485,2.0
1958,1.3897260273972603,1304,10.716000000000001,479,0.0
1959,1.4685205479452055,1132,10.666520547945206,398,0.0
1960,1.6443715846994535,1375,10.61068306010929,357,0.0
1961,1.1557260273972603,1041,11.138876712328768,415,0.0
1962,1.3031506849315069,1248,9.796054794520547,686,0.0
1963,1.6765479452054795,1297,9.777397260273972,869,0.0
1964,1.6628688524590165,1289,9.619945355191257,741,0.0
1965,2.08013698630137,1573,9.513150684931507,615,0.0
1966,1.8129863013698628,1512,10.845561643835618,418,0.0
1967,1.4674246575342467,1244,10.685643835616437,583,0.0
1968,1.3864754098360657,1253,10.587841530054645,542,0.0
1969,1.7715342465753425,1466,9.88290410958904,607,0.0
1970,1.9102739726027398,1622,10.03068493150685,506,0.0
1971,1.1138082191780823,1242,10.428438356164385,499,0.0
1972,1.6874590163934426,1327,10.538743169398908,393,0.0
1973,1.162794520547945,1154,10.25041095890411,425,0.0
1974,1.9538904109589041,1504,10.793205479452054,143,0.0
1975,1.6254794520547946,1213,10.93594520547945,360,0.0
1976,1.5259562841530054,1322,10.010737704918034,592,0.0
1977,1.5284657534246575,1313,10.60317808219178,442,0.0
1978,1.5816712328767124,1410,9.583397260273973,466,0.0
1979,1.5887945205479452,1462,10.721205479452054,344,0.0
1980,1.839453551912568,1518,9.231803278688526,524,0.0
1981,1.6199726027397259,1297,10.524219178082193,541,0.0
1982,1.430054794520548,1194,10.571534246575341,473,0.0
1983,1.2497534246575344,1133,11.074986301369862,470,0.0
1984,1.6322131147540984,1430,10.091393442622952,474,0.0
1985,1.5890136986301369,1409,9.516602739726027,562,0.0
1986,1.2303561643835617,1119,10.352630136986301,612,0.0
1987,1.5836164383561644,1338,9.946383561643836,653,0.0
1988,1.4452185792349728,1310,10.529371584699453,355,0.0
1989,1.5815068493150686,1150,11.06649315068493,501,0.0
1990,1.2575890410958903,1166,11.159232876712329,297,0.0
1991,1.682,1163,9.962082191780821,570,0.0
1992,1.3045081967213115,1162,11.34863387978142,370,2.0
1993,1.4292876712328766,1289,10.411095890410959,624,0.0
1994,1.333013698630137,1272,11.805780821917807,293,2.0
1995,1.6768767123287671,1359,10.721287671232876,440,0.0
1996,1.6463387978142077,1381,9.901475409836065,674,0.0
1997,1.2501095890410958,1166,10.454328767123288,487,0.0
1998,1.7883287671232875,1253,10.784849315068492,467,4.0
1999,2.050109589041096,1334,10.921369863013698,487,0.0
2000,1.088032786885246,1061,12.052814207650274,349,0.0
2001,1.6254520547945204,1266,10.875808219178081,510,0.0
2002,1.4595616438356163,1309,11.894493150684932,378,0.0
2003,1.2187123287671233,1019,11.080931506849316,626,0.0
2004,1.8369398907103824,1405,10.728005464480875,485,0.0
2005,1.795013698630137,1266,10.331890410958904,568,0.0
2006,1.5013972602739727,1248,11.19027397260274,554,0.0
2007,1.5157808219178084,1250,12.38627397260274,240,27.0
2008,1.545,1243,12.141584699453551,199,2.0
2009,1.4055890410958902,1353,12.034465753424659,380,0.0
2010,2.2570410958904112,1536,10.87454794520548,565,0.0
2011,1.0433150684931507,1001,11.495095890410958,518,1.0
2012,1.2602459016393444,1117,12.084863387978142,439,21.0
2013,1.5954520547945203,1355,11.759972602739726,382,12.0
2014,1.9070958904109587,1387,12.57345205479452,179,0.0
2015,1.4009589041095891,1197,12.408821917808218,157,9.0
2016,1.8979234972677594,1294,11.745765027322404,372,0.0
2017,1.522986301369863,1140,11.889753424657535,415,15.0
2018,1.4642465753424658,1307,12.845095890410958,325,0.0
2019,1.5427945205479452,1247,12.955561643835617,252,0.0
2020,1.5216939890710381,1280,12.259590163934426,228,0.0
2021,1.263095890410959,1238,11.748465753424657,229,11.0
2022,1.264,1128,12.733835616438355,211,16.0
2023,1.9072054794520548,1351,13.068876712328768,131,2.0
2024,1.196065573770492,1067,13.693360655737704,162,41.0
2025,1.0637808219178082,1034,12.605260273972602,253,5.0
